"","date","datatype","GHCND:JA000047412","GHCND:USC00118740","GHCND:KSM00047101"
"46","2015-02-15T00:00:00","SNWD",729,0,NA
"47","2015-02-16T00:00:00","SNWD",711,0,NA
"48","2015-02-17T00:00:00","SNWD",691,0,NA
"49","2015-02-18T00:00:00","SNWD",660,25,NA
"50","2015-02-19T00:00:00","SNWD",650,25,NA
"51","2015-02-20T00:00:00","SNWD",640,25,NA
"52","2015-02-21T00:00:00","SNWD",630,152,NA
"53","2015-02-22T00:00:00","SNWD",620,102,NA
"54","2015-02-23T00:00:00","SNWD",579,76,NA
"55","2015-02-24T00:00:00","SNWD",579,76,NA
"56","2015-02-25T00:00:00","SNWD",559,76,NA
"57","2015-02-26T00:00:00","SNWD",559,102,NA
"58","2015-02-27T00:00:00","SNWD",541,102,NA
"59","2015-02-28T00:00:00","SNWD",541,102,NA
"60","2015-03-01T00:00:00","SNWD",541,305,NA
"61","2015-03-02T00:00:00","SNWD",541,279,NA
"62","2015-03-03T00:00:00","SNWD",541,229,NA
"63","2015-03-04T00:00:00","SNWD",531,152,NA
"64","2015-03-05T00:00:00","SNWD",599,152,NA
"65","2015-03-06T00:00:00","SNWD",589,152,NA
"66","2015-03-07T00:00:00","SNWD",559,152,NA
"67","2015-03-08T00:00:00","SNWD",531,127,NA
"68","2015-03-09T00:00:00","SNWD",500,0,NA
"69","2015-03-10T00:00:00","SNWD",381,0,NA
"70","2015-03-11T00:00:00","SNWD",419,0,NA
"71","2015-03-12T00:00:00","SNWD",409,0,NA
"72","2015-03-13T00:00:00","SNWD",429,0,NA
"73","2015-03-14T00:00:00","SNWD",500,0,NA
"74","2015-03-15T00:00:00","SNWD",429,0,NA
"75","2015-03-16T00:00:00","SNWD",409,0,NA
"76","2015-03-17T00:00:00","SNWD",381,0,NA
"77","2015-03-18T00:00:00","SNWD",320,0,NA
"78","2015-03-19T00:00:00","SNWD",279,0,NA
"79","2015-03-20T00:00:00","SNWD",249,0,NA
"80","2015-03-21T00:00:00","SNWD",221,0,NA
"81","2015-03-22T00:00:00","SNWD",170,0,NA
"82","2015-03-23T00:00:00","SNWD",140,0,NA
"83","2015-03-24T00:00:00","SNWD",109,0,NA
"84","2015-03-25T00:00:00","SNWD",99,0,NA
"85","2015-03-26T00:00:00","SNWD",71,0,NA
"86","2015-03-27T00:00:00",NA,NA,0,NA
"87","2015-03-28T00:00:00",NA,NA,0,NA
"88","2015-03-29T00:00:00",NA,NA,0,NA
"89","2015-03-30T00:00:00",NA,NA,0,NA
"90","2015-03-31T00:00:00",NA,NA,0,NA
"91","2015-04-01T00:00:00",NA,NA,0,NA
"92","2015-04-02T00:00:00",NA,NA,0,NA
"93","2015-04-03T00:00:00",NA,NA,0,NA
"94","2015-04-04T00:00:00",NA,NA,0,NA
"95","2015-04-05T00:00:00",NA,NA,0,NA
"96","2015-04-06T00:00:00",NA,NA,0,NA
"97","2015-04-07T00:00:00",NA,NA,0,NA
"98","2015-04-08T00:00:00",NA,NA,0,NA
"99","2015-04-09T00:00:00",NA,NA,0,NA
"100","2015-04-10T00:00:00",NA,NA,0,NA
"101","2015-04-11T00:00:00",NA,NA,0,NA
"102","2015-04-12T00:00:00",NA,NA,0,NA
"103","2015-04-13T00:00:00",NA,NA,0,NA
"104","2015-04-14T00:00:00",NA,NA,0,NA
"105","2015-04-15T00:00:00",NA,NA,0,NA
"106","2015-04-16T00:00:00",NA,NA,0,NA
"107","2015-04-17T00:00:00",NA,NA,0,NA
"108","2015-04-18T00:00:00",NA,NA,0,NA
"109","2015-04-19T00:00:00",NA,NA,0,NA
"110","2015-04-20T00:00:00",NA,NA,0,NA
"111","2015-04-21T00:00:00",NA,NA,0,NA
"112","2015-04-22T00:00:00",NA,NA,0,NA
"113","2015-04-23T00:00:00",NA,NA,0,NA
"114","2015-04-24T00:00:00",NA,NA,0,NA
"115","2015-04-25T00:00:00",NA,NA,0,NA
"116","2015-04-26T00:00:00",NA,NA,0,NA
"117","2015-04-27T00:00:00",NA,NA,0,NA
"118","2015-04-28T00:00:00",NA,NA,0,NA
"119","2015-04-29T00:00:00",NA,NA,0,NA
"120","2015-04-30T00:00:00",NA,NA,0,NA
"121","2015-05-01T00:00:00",NA,NA,0,NA
"122","2015-05-02T00:00:00",NA,NA,0,NA
"123","2015-05-03T00:00:00",NA,NA,0,NA
"124","2015-05-04T00:00:00",NA,NA,0,NA
"125","2015-05-05T00:00:00",NA,NA,0,NA
"126","2015-05-06T00:00:00",NA,NA,0,NA
"127","2015-05-07T00:00:00",NA,NA,0,NA
"128","2015-05-08T00:00:00",NA,NA,0,NA
"129","2015-05-09T00:00:00",NA,NA,0,NA
"130","2015-05-10T00:00:00",NA,NA,0,NA
"131","2015-05-11T00:00:00",NA,NA,0,NA
"132","2015-05-12T00:00:00",NA,NA,0,NA
"133","2015-05-13T00:00:00",NA,NA,0,NA
"134","2015-05-14T00:00:00",NA,NA,0,NA
"135","2015-05-15T00:00:00",NA,NA,0,NA
"136","2015-05-16T00:00:00",NA,NA,0,NA
"137","2015-05-17T00:00:00",NA,NA,0,NA
"138","2015-05-18T00:00:00",NA,NA,0,NA
"139","2015-05-19T00:00:00",NA,NA,0,NA
"140","2015-05-20T00:00:00",NA,NA,0,NA
"141","2015-05-21T00:00:00",NA,NA,0,NA
"142","2015-05-22T00:00:00",NA,NA,0,NA
"143","2015-05-23T00:00:00",NA,NA,0,NA
"144","2015-05-24T00:00:00",NA,NA,0,NA
"145","2015-05-25T00:00:00",NA,NA,0,NA
"146","2015-05-26T00:00:00",NA,NA,0,NA
"147","2015-05-27T00:00:00",NA,NA,0,NA
